,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
8,2021-09-28,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,be Club Brugge,1.3,1.4,66.0,23500.0,Péter Gulácsi,3-4-3,Slavko Vinčič,Match Report,,21.1,1.0,-0.3,0.08,0.25,1.0,0.0,0.0,13.0,4.0,30.8,-0.3,1.3,0.1,2021,RB Leipzig
9,2021-10-02,18:30,Bundesliga,Matchweek 7,Sat,Home,W,3,0,Bochum,3.2,1.5,59.0,25598.0,Péter Gulácsi,3-4-3,Robert Hartmann,Match Report,,14.1,0.0,-0.2,0.19,0.38,3.0,0.0,0.0,16.0,8.0,50.0,-0.2,3.2,0.2,2021,RB Leipzig
10,2021-10-16,15:30,Bundesliga,Matchweek 8,Sat,Away,D,1,1,Freiburg,1.7,1.4,47.0,20000.0,Péter Gulácsi,4-3-3,Daniel Siebert,Match Report,,19.4,0.0,-0.7,0.0,0.0,1.0,1.0,1.0,11.0,2.0,18.2,-1.0,1.0,0.09,2021,RB Leipzig
11,2021-10-19,21:00,Champions Lg,Group stage,Tue,Away,L,2,3,fr Paris S-G,2.1,3.0,36.0,47359.0,Péter Gulácsi,3-5-2,Marco Guida,Match Report,,15.5,1.0,-0.1,0.11,0.5,2.0,0.0,0.0,18.0,4.0,22.2,-0.1,2.1,0.12,2021,RB Leipzig
12,2021-10-23,15:30,Bundesliga,Matchweek 9,Sat,Home,W,4,1,Greuther Fürth,2.3,1.4,56.0,24758.0,Péter Gulácsi,3-4-3,Christian Dingert,Match Report,,18.4,0.0,1.7,0.25,0.75,4.0,1.0,1.0,12.0,4.0,33.3,1.5,1.5,0.13,2021,RB Leipzig
13,2021-10-26,18:30,DFB-Pokal,Round of 32,Tue,Away,W,1,0,Babelsberg 03,,,73.0,6218.0,Willi Orban,4-2-2-2,Benjamin Cortus,Match Report,,,,,0.04,0.13,1.0,0.0,0.0,23.0,8.0,34.8,,,,2021,RB Leipzig
14,2021-10-30,18:30,Bundesliga,Matchweek 10,Sat,Away,D,1,1,Eint Frankfurt,3.0,0.6,53.0,31000.0,Péter Gulácsi,3-4-3,Daniel Schlager,Match Report,,10.6,0.0,-2.0,0.07,0.17,1.0,0.0,0.0,14.0,6.0,42.9,-2.0,3.0,0.22,2021,RB Leipzig
15,2021-11-03,21:00,Champions Lg,Group stage,Wed,Home,D,2,2,fr Paris S-G,3.3,2.1,54.0,39794.0,Péter Gulácsi,3-4-3,Andreas Ekberg,Match Report,,19.9,1.0,-1.3,0.07,0.33,2.0,1.0,2.0,15.0,3.0,20.0,-0.7,1.7,0.12,2021,RB Leipzig
16,2021-11-06,18:30,Bundesliga,Matchweek 11,Sat,Home,W,2,1,Dortmund,2.6,0.9,54.0,43429.0,Péter Gulácsi,3-4-3,Felix Zwayer,Match Report,,16.2,0.0,-0.6,0.14,0.33,2.0,0.0,0.0,14.0,6.0,42.9,-0.6,2.6,0.19,2021,RB Leipzig
17,2021-11-20,15:30,Bundesliga,Matchweek 12,Sat,Away,L,0,2,Hoffenheim,0.2,3.1,58.0,13233.0,Péter Gulácsi,3-4-3,Tobias Welz,Match Report,,19.2,0.0,-0.2,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,-0.2,0.2,0.05,2021,RB Leipzig
